ds,yhat,yhat_lower,yhat_upper,pct_occ,over70,over80,over85
2021-10-06 17:00:00,56.68190728950028,11.551416284005116,98.37705364161157,4.723492274125023,False,False,False
2021-10-07 17:00:00,60.55334507965041,18.333901366626993,100.93336624016598,5.046112089970867,False,False,False
2021-10-09 17:00:00,48.11315462904906,6.875162625058497,90.27629835854732,4.009429552420755,False,False,False
2021-10-11 17:00:00,51.73256297261571,8.682809793679489,91.98493777497835,4.311046914384643,False,False,False
2021-10-13 17:00:00,53.3043871336514,9.55430218778402,98.91890222688951,4.442032261137617,False,False,False
2021-10-23 17:00:00,34.021459484676456,-10.803273305125956,76.36216014866659,2.835121623723038,False,False,False
2021-10-24 17:00:00,37.12169435096976,-1.356597144665856,79.33056411004917,3.09347452924748,False,False,False
2021-10-30 17:00:00,34.51530619688003,-7.641814546483917,74.35083998418291,2.8762755164066696,False,False,False
2021-11-16 17:00:00,50.401955731705144,10.32179680643158,92.89109536466853,4.200162977642095,False,False,False
2021-11-17 17:00:00,65.6536510162002,23.6948126192982,108.73227849006821,5.471137584683349,False,False,False
2021-11-19 17:00:00,58.78663338405332,17.597943654924723,99.80317822379494,4.898886115337777,False,False,False
2021-11-23 17:00:00,83.63529762326571,40.328757137547626,126.07216588187829,6.969608135272143,False,False,False
2021-12-01 17:00:00,99.73808547006227,56.45956572340564,141.27796198416945,8.311507122505189,False,False,False
2021-12-02 17:00:00,105.63153252068547,62.24671948422709,143.88493628165972,8.802627710057122,False,False,False
2021-12-08 17:00:00,101.59154497831994,61.91404370162127,142.7412848628884,8.465962081526662,False,False,False
2021-12-09 17:00:00,125.40493710699329,84.1800304437504,167.8290879736842,10.450411425582775,False,False,False
2021-12-11 17:00:00,109.01527092358023,65.31168928957197,155.68536131909036,9.084605910298354,False,False,False
2021-12-12 17:00:00,123.69641041036516,81.68699797363028,166.54319693701925,10.308034200863764,False,False,False
2021-12-16 17:00:00,126.5102230596377,84.99372905565059,169.7101762026761,10.542518588303142,False,False,False
2021-12-18 17:00:00,115.54426409795164,70.63755862360941,154.52497023172714,9.628688674829302,False,False,False
2021-12-19 17:00:00,122.17793664320733,81.65879574291641,163.716369401188,10.181494720267278,False,False,False
2021-12-21 17:00:00,132.91617154056172,88.45707010384069,177.77720228984631,11.076347628380145,False,False,False
2021-12-22 17:00:00,132.54681765857868,89.80233438089012,172.84924863472588,11.04556813821489,False,False,False
2021-12-26 17:00:00,122.14492350332766,79.60139004848082,165.95787507072782,10.178743625277304,False,False,False
2022-01-02 17:00:00,103.40816797159145,59.96088741632702,148.1953750190956,8.617347330965956,False,False,False
2022-01-03 17:00:00,109.10866191101704,68.48315291546234,151.74129356018713,9.092388492584753,False,False,False
2022-01-05 17:00:00,217.62724405687845,175.2434527198947,257.0667992420136,18.13560367140654,False,False,False
2022-01-06 17:00:00,210.42094880680054,168.0014592083536,251.75023725859134,17.53507906723338,False,False,False
2022-01-10 17:00:00,221.57618231242114,180.11762997374032,265.5112336925658,18.46468185936843,False,False,False
2022-01-12 17:00:00,264.3092453950609,223.88259072798354,306.46422407754346,22.025770449588407,False,False,False
2022-01-14 17:00:00,209.31889675020938,164.92861986162774,253.07197876892135,17.44324139585078,False,False,False
2022-01-15 17:00:00,235.46479510251902,193.3076206206907,277.2616088122703,19.622066258543253,False,False,False
